City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,gargalianoi,37.0667,21.6333,59.36,78,5,8.52,GR,1712702349
84,mezhdurechenskiy,59.6,65.9333,18.59,97,75,3.78,RU,1712702349
85,remire-montjoly,4.9167,-52.2667,78.84,94,75,3.44,GF,1712702321
86,olonkinbyen,70.9221,-8.7187,26.94,85,26,14.61,SJ,1712702350
87,morar,26.2261,78.2261,79.72,22,89,1.57,IN,1712702350
88,klyuchi,52.2667,79.1667,42.06,94,100,5.84,RU,1712702350
89,rio grande,-32.035,-52.0986,77.11,90,42,9.57,BR,1712702290
90,lorengau,-2.0226,147.2712,77.04,96,100,9.44,PG,1712702071
91,ilulissat,69.2167,-51.1,19.42,68,20,3.44,GL,1712702350
92,novyy urengoy,66.0833,76.6333,-14.66,98,8,8.84,RU,1712702351
93,mogoytuy,51.2833,114.9167,31.32,41,3,2.44,RU,1712702121
94,georgetown,5.4112,100.3354,82.94,91,20,2.3,MY,1712702351
95,veraval,20.9,70.3667,77.16,70,13,11.7,IN,1712702351
96,fortuna,40.5982,-124.1573,60.66,80,100,13.8,US,1712702352
97,egilsstadir,65.2653,-14.3948,31.91,80,100,11.5,IS,1712702352
98,lautoka,-17.6167,177.4667,85.86,74,40,5.75,FJ,1712702352
99,cedeira,43.6797,-8.0209,53.38,77,100,4.29,ES,1712702352
100,tazovsky,67.4667,78.7,-16.73,99,72,9.31,RU,1712702352
101,manga,11.6636,-1.0731,91.15,38,90,13.49,BF,1712702352
102,ankazoabo,-22.2833,44.5167,69.1,96,7,3.33,MG,1712702353
103,inhambane,-23.865,35.3833,75.9,90,77,10.85,MZ,1712702353
104,blackmans bay,-43.0167,147.3167,59.52,70,58,5.28,AU,1712702353
105,bredasdorp,-34.5322,20.0403,61.81,80,79,8.3,ZA,1712702353
106,guangyuan,32.442,105.823,54.64,96,100,4.63,CN,1712702353
107,queenstown,-31.8976,26.8753,53.2,79,96,12.95,ZA,1712702353
108,howard springs,-12.497,131.047,76.87,62,92,7.38,AU,1712702260
109,port elizabeth,-33.918,25.5701,64.09,96,36,8.99,ZA,1712702353
110,ati,13.2154,18.3353,83.3,10,75,9.51,TD,1712702354
111,port lincoln,-34.7333,135.8667,59.9,64,99,6.53,AU,1712702178
112,carnarvon,-24.8667,113.6333,76.48,43,0,15.55,AU,1712702354
113,thompson,55.7435,-97.8558,57.36,24,40,2.3,CA,1712702294
114,usogorsk,63.4106,48.6872,29.66,96,97,3.58,RU,1712702206
115,anadyr,64.75,177.4833,23.5,85,75,22.37,RU,1712702354
116,berezovyy,51.6667,135.7,35.13,53,7,4.88,RU,1712702354
117,port alfred,-33.5906,26.891,61.18,95,79,8.01,ZA,1712702310
118,greenfield,42.9614,-88.0126,61.11,45,40,11.5,US,1712702151
119,zaoyang,32.1272,112.7542,59.38,79,31,5.28,CN,1712702355
120,horta,38.5333,-28.6333,63.01,93,75,27.0,PT,1712702298
121,arraial do cabo,-22.9661,-42.0278,75.16,94,20,2.3,BR,1712702228
122,petropavlovsk-kamchatsky,53.0452,158.6483,36.45,82,100,11.18,RU,1712702291
123,urengoy,65.9667,78.3667,-14.84,99,15,8.03,RU,1712702355
